iter	Passed	Remaining
592	4579	3142
593	4585	3134
594	4591	3125
595	4598	3117
596	4605	3108
597	4611	3099
598	4618	3091
599	4624	3083
600	4630	3074
601	4637	3066
602	4644	3057
603	4651	3049
604	4657	3040
605	4663	3032
606	4670	3024
607	4676	3015
608	4684	3007
609	4690	2999
610	4697	2990
611	4704	2982
612	4710	2973
613	4717	2965
614	4724	2957
615	4730	2949
616	4737	2940
617	4743	2932
618	4750	2924
619	4756	2915
620	4763	2907
621	4769	2898
622	4776	2890
623	4783	2882
624	4789	2873
625	4796	2865
626	4803	2857
627	4809	2848
628	4815	2840
629	4822	2832
630	4828	2823
631	4835	2815
632	4841	2807
633	4848	2798
634	4854	2790
635	4860	2781
636	4867	2774
637	4873	2765
638	4880	2757
639	4886	2748
640	4893	2740
641	4900	2732
642	4906	2724
643	4913	2716
644	4920	2708
645	4926	2699
646	4933	2691
647	4939	2683
648	4947	2675
649	4953	2667
650	4959	2658
651	4965	2650
652	4972	2642
653	4979	2634
654	4985	2625
655	4991	2617
656	4999	2610
657	5005	2601
658	5012	2593
659	5019	2585
660	5025	2577
661	5032	2569
662	5038	2560
663	5045	2553
664	5052	2545
665	5058	2536
666	5064	2528
667	5071	2520
668	5078	2512
669	5084	2504
670	5091	2496
671	5098	2488
672	5104	2480
673	5111	2472
674	5117	2464
675	5123	2455
676	5130	2447
677	5136	2439
678	5143	2431
679	5150	2423
680	5156	2415
681	5163	2407
682	5169	2399
683	5177	2391
684	5183	2383
685	5190	2375
686	5196	2367
687	5202	2359
688	5209	2351
689	5215	2343
690	5221	2335
691	5228	2327
692	5234	2319
693	5241	2311
694	5248	2303
695	5254	2295
696	5261	2287
697	5267	2279
698	5274	2271
699	5280	2263
700	5286	2254
701	5293	2247
702	5300	2239
703	5306	2231
704	5313	2223
705	5319	2215
706	5327	2207
707	5333	2199
708	5340	2191
709	5346	2183
710	5353	2175
711	5360	2168
712	5366	2160
713	5373	2152
714	5380	2144
715	5386	2136
716	5393	2128
717	5399	2120
718	5407	2113
719	5413	2105
720	5420	2097
721	5426	2089
722	5433	2081
723	5440	2074
724	5447	2066
725	5453	2058
726	5460	2050
727	5467	2042
728	5474	2035
729	5480	2027
730	5487	2019
731	5493	2011
732	5499	2003
733	5506	1995
734	5512	1987
735	5519	1979
736	5526	1972
737	5532	1964
738	5540	1956
739	5546	1948
740	5553	1941
741	5559	1933
742	5566	1925
743	5573	1917
744	5580	1909
745	5586	1902
746	5593	1894
747	5599	1886
748	5606	1878
749	5612	1870
750	5619	1863
751	5625	1855
752	5631	1847
753	5638	1839
754	5645	1831
755	5651	1824
756	5658	1816
757	5664	1808
758	5671	1800
759	5677	1792
760	5683	1785
761	5690	1777
762	5696	1769
763	5704	1762
764	5710	1754
765	5716	1746
766	5723	1738
767	5729	1730
768	5736	1723
769	5743	1715
770	5749	1707
771	5756	1700
772	5762	1692
773	5769	1684
774	5776	1676
775	5783	1669
776	5789	1661
777	5795	1653
778	5802	1646
779	5808	1638
780	5815	1630
781	5821	1622
782	5827	1615
783	5834	1607
784	5841	1599
785	5848	1592
786	5855	1584
787	5862	1577
788	5869	1569
789	5877	1562
790	5886	1555
791	5893	1547
792	5899	1540
793	5907	1532
794	5915	1525
795	5924	1518
